course_id,course_name,room_id,timeslot,predicted_students
C0003,Algo 246,,,106
C0169,Econ 494,,,105
C0053,AI 301,R010,08:00-09:00,98
C0091,Data 381,R010,09:00-10:00,96
C0125,AI 335,R010,10:00-11:00,93
C0177,Algo 225,R010,11:00-12:00,93
C0109,Opt 245,R010,12:00-13:00,91
C0124,Sys 113,R010,13:00-14:00,86
C0020,Sys 376,R010,14:00-15:00,85
C0143,Algo 315,R010,15:00-16:00,85
C0068,Algo 352,,,85
C0073,Algo 339,,,84
C0099,Stat 348,,,83
C0103,Networks 430,,,83
C0192,Calc 347,,,81
C0051,Mgmt 202,R011,08:00-09:00,79
C0186,Algo 400,R011,09:00-10:00,77
C0133,Data 447,R011,10:00-11:00,77
C0156,Data 303,R011,11:00-12:00,75
C0170,Econ 486,R011,12:00-13:00,75
C0038,Data 378,R011,13:00-14:00,75
C0004,Sys 160,R011,14:00-15:00,75
C0111,Calc 449,R011,15:00-16:00,74
C0185,Opt 258,R016,08:00-09:00,74
C0116,AI 163,R016,09:00-10:00,74
C0131,Stat 432,R016,10:00-11:00,71
C0187,Calc 408,R016,11:00-12:00,71
C0110,Calc 395,R016,12:00-13:00,70
C0064,Econ 367,R016,13:00-14:00,69
C0011,Mgmt 119,R016,14:00-15:00,69
C0021,Econ 253,R016,15:00-16:00,69
C0060,Sys 462,R017,08:00-09:00,69
C0190,Sys 445,R017,09:00-10:00,69
C0168,Mgmt 138,R017,10:00-11:00,69
C0119,AI 303,R017,11:00-12:00,69
C0035,Econ 273,R017,12:00-13:00,68
C0097,Networks 132,R017,13:00-14:00,68
C0127,Econ 464,R017,14:00-15:00,68
C0153,Stat 404,R017,15:00-16:00,68
C0017,AI 311,R025,08:00-09:00,66
C0181,Networks 457,R025,09:00-10:00,66
C0077,Opt 368,R025,10:00-11:00,66
C0092,Econ 414,R025,11:00-12:00,65
C0152,Calc 262,R025,12:00-13:00,65
C0130,Opt 430,R025,13:00-14:00,65
C0048,Opt 318,R025,14:00-15:00,65
C0019,Data 438,R025,15:00-16:00,65
C0042,Stat 361,R039,08:00-09:00,65
C0023,Stat 264,R039,09:00-10:00,65
C0000,AI 370,R039,10:00-11:00,64
C0132,Networks 345,R039,11:00-12:00,64
C0059,Econ 346,R039,12:00-13:00,63
C0136,Mgmt 244,R039,13:00-14:00,63
C0088,Algo 449,R039,14:00-15:00,63
C0056,AI 220,R039,15:00-16:00,63
C0165,Econ 143,,,62
C0134,Sys 337,,,62
C0112,Algo 121,,,62
C0101,Algo 227,,,62
C0102,Data 193,,,62
C0150,Opt 233,,,62
C0173,Algo 263,,,62
C0145,Stat 408,,,62
C0072,Calc 260,,,62
C0108,Networks 294,,,61
C0149,Sys 379,,,61
C0139,Stat 171,R005,08:00-09:00,60
C0074,Opt 205,R005,09:00-10:00,60
C0006,Networks 446,R005,10:00-11:00,60
C0045,Networks 254,R005,11:00-12:00,60
C0066,Networks 150,R005,12:00-13:00,60
C0191,Networks 306,R005,13:00-14:00,59
C0117,AI 206,R005,14:00-15:00,59
C0069,Data 116,R005,15:00-16:00,58
C0154,AI 288,R022,08:00-09:00,58
C0140,Opt 185,R022,09:00-10:00,58
C0079,Econ 403,R022,10:00-11:00,58
C0078,Sys 284,R022,11:00-12:00,58
C0084,AI 260,R022,12:00-13:00,58
C0163,Sys 427,R022,13:00-14:00,57
C0123,Networks 453,R022,14:00-15:00,57
C0076,Sys 227,R022,15:00-16:00,57
C0171,Algo 314,R026,08:00-09:00,56
C0120,Stat 411,R026,09:00-10:00,56
C0012,Mgmt 145,R026,10:00-11:00,56
C0005,AI 489,R026,11:00-12:00,55
C0024,Algo 127,R026,12:00-13:00,55
C0071,Data 308,R026,13:00-14:00,55
C0146,Opt 240,R026,14:00-15:00,55
C0193,Econ 230,R026,15:00-16:00,55
C0126,Opt 376,R031,08:00-09:00,55
C0114,Opt 417,R031,09:00-10:00,55
C0178,Stat 262,R031,10:00-11:00,54
C0184,Stat 357,R031,11:00-12:00,54
C0095,AI 434,R031,12:00-13:00,54
C0115,Mgmt 228,R031,13:00-14:00,54
C0052,Algo 253,R031,14:00-15:00,54
C0093,Econ 239,R031,15:00-16:00,53
C0054,Stat 143,,,52
C0007,Econ 192,,,52
C0043,Data 159,,,52
C0105,Calc 343,,,52
C0122,AI 159,,,52
C0016,Networks 457,,,52
C0183,Data 426,,,51
C0157,Data 318,,,51
C0162,Sys 377,,,51
C0089,Networks 187,,,51
C0057,Mgmt 153,,,51
C0058,Data 132,,,50
C0062,Opt 440,,,50
C0065,Data 134,,,50
C0135,Econ 376,,,50
C0174,AI 232,,,50
C0047,Stat 321,,,50
C0137,Mgmt 345,,,49
C0094,Data 457,,,49
C0151,AI 161,,,49
C0182,Networks 433,,,49
C0158,Econ 115,,,49
C0080,Algo 281,,,49
C0081,Opt 152,,,49
C0001,AI 127,,,48
C0018,Stat 437,,,48
C0160,Data 238,,,48
C0166,AI 176,,,48
C0199,Opt 335,,,48
C0198,Stat 411,,,48
C0147,Stat 195,,,48
C0010,Networks 181,,,48
C0107,Networks 190,,,47
C0195,Data 375,,,46
C0022,Data 133,,,46
C0196,AI 374,,,46
C0013,Sys 222,,,45
C0002,Mgmt 219,,,45
C0148,Mgmt 366,,,45
C0061,Sys 227,,,45
C0067,Sys 365,,,45
C0041,Calc 398,,,45
C0106,Opt 125,,,44
C0085,Mgmt 477,,,44
C0014,Stat 376,,,43
C0033,Stat 270,,,43
C0128,Opt 391,,,43
C0113,Algo 243,,,42
C0028,Sys 265,,,42
C0100,Sys 341,,,41
C0008,Algo 324,,,41
C0032,Algo 143,,,41
C0142,Data 463,,,41
C0176,Mgmt 266,,,41
C0188,Calc 371,R008,08:00-09:00,40
C0138,Stat 358,R008,09:00-10:00,40
C0031,Networks 210,R008,10:00-11:00,40
C0037,Stat 382,R008,11:00-12:00,40
C0083,Calc 249,R008,12:00-13:00,39
C0121,Stat 231,R008,13:00-14:00,39
C0075,Data 412,R008,14:00-15:00,38
C0086,Opt 472,R008,15:00-16:00,37
C0118,Calc 377,R013,08:00-09:00,36
C0050,Stat 184,R013,09:00-10:00,35
C0159,Opt 343,R013,10:00-11:00,35
C0055,Data 239,R013,11:00-12:00,34
C0194,Sys 195,R013,12:00-13:00,33
C0175,Econ 259,R013,13:00-14:00,32
C0027,Networks 294,R013,14:00-15:00,31
C0026,Stat 345,R000,08:00-09:00,29
C0096,Sys 391,R000,09:00-10:00,29
C0070,Opt 168,R000,10:00-11:00,29
C0104,Sys 144,R000,11:00-12:00,29
C0141,Data 435,R000,12:00-13:00,28
C0046,Networks 348,R000,13:00-14:00,27
C0197,Sys 118,R000,14:00-15:00,27
C0179,Algo 387,R000,15:00-16:00,26
C0036,AI 176,R002,08:00-09:00,26
C0129,Sys 211,R002,09:00-10:00,25
C0161,Stat 124,R002,10:00-11:00,24
C0049,Opt 161,R002,11:00-12:00,23
C0144,Opt 279,R002,12:00-13:00,23
C0025,AI 498,R002,13:00-14:00,22
C0172,Networks 378,R002,14:00-15:00,21
C0180,Data 494,R002,15:00-16:00,21
C0082,Algo 200,R003,08:00-09:00,21
C0034,Stat 313,R001,08:00-09:00,20
C0029,Sys 245,R001,09:00-10:00,19
C0087,Data 414,R001,10:00-11:00,18
C0164,Opt 124,R001,11:00-12:00,18
C0009,Stat 213,R001,12:00-13:00,18
C0015,Econ 219,R001,13:00-14:00,18
C0040,Networks 374,R001,14:00-15:00,15
C0167,Econ 298,R001,15:00-16:00,14
C0063,Sys 110,R004,08:00-09:00,8
C0189,Calc 287,R004,09:00-10:00,7
C0030,Algo 185,R004,10:00-11:00,6
C0039,AI 342,R004,11:00-12:00,5
C0044,Algo 370,R004,12:00-13:00,5
C0098,Sys 335,R004,13:00-14:00,5
C0090,Opt 195,R004,14:00-15:00,5
C0155,Sys 435,R004,15:00-16:00,4
