course_id,term,day_of_week,timeslot,enrolled
C0000,T2022,Tue,10:00-11:00,82
C0000,T2023,Mon,14:00-15:00,77
C0000,T2024,Tue,15:00-16:00,71
C0001,T2022,Tue,12:00-13:00,62
C0001,T2023,Fri,11:00-12:00,70
C0001,T2024,Mon,14:00-15:00,47
C0002,T2022,Thu,09:00-10:00,38
C0002,T2023,Tue,11:00-12:00,44
C0002,T2024,Tue,08:00-09:00,56
C0003,T2022,Thu,14:00-15:00,93
C0003,T2023,Thu,14:00-15:00,117
C0003,T2024,Fri,12:00-13:00,77
C0004,T2022,Wed,08:00-09:00,64
C0004,T2023,Thu,11:00-12:00,73
C0004,T2024,Tue,15:00-16:00,82
C0005,T2022,Fri,11:00-12:00,51
C0005,T2023,Wed,13:00-14:00,37
C0005,T2024,Tue,10:00-11:00,47
C0006,T2022,Tue,09:00-10:00,46
C0006,T2023,Wed,13:00-14:00,43
C0006,T2024,Tue,13:00-14:00,65
C0007,T2022,Mon,11:00-12:00,51
C0007,T2023,Tue,11:00-12:00,52
C0007,T2024,Tue,12:00-13:00,50
C0008,T2022,Mon,08:00-09:00,55
C0008,T2023,Thu,15:00-16:00,48
C0008,T2024,Mon,15:00-16:00,51
C0009,T2022,Thu,14:00-15:00,18
C0009,T2023,Wed,11:00-12:00,21
C0009,T2024,Wed,15:00-16:00,13
C0010,T2022,Thu,10:00-11:00,51
C0010,T2023,Tue,15:00-16:00,54
C0010,T2024,Tue,08:00-09:00,43
C0011,T2022,Wed,15:00-16:00,82
C0011,T2023,Fri,10:00-11:00,77
C0011,T2024,Fri,13:00-14:00,66
C0012,T2022,Thu,11:00-12:00,82
C0012,T2023,Fri,11:00-12:00,79
C0012,T2024,Wed,10:00-11:00,75
C0013,T2022,Thu,14:00-15:00,37
C0013,T2023,Fri,13:00-14:00,75
C0013,T2024,Wed,11:00-12:00,41
C0014,T2022,Tue,15:00-16:00,30
C0014,T2023,Fri,09:00-10:00,30
C0014,T2024,Mon,10:00-11:00,39
C0015,T2022,Fri,10:00-11:00,26
C0015,T2023,Mon,15:00-16:00,2
C0015,T2024,Wed,09:00-10:00,17
C0016,T2022,Fri,10:00-11:00,45
C0016,T2023,Mon,09:00-10:00,38
C0016,T2024,Thu,15:00-16:00,37
C0017,T2022,Thu,15:00-16:00,64
C0017,T2023,Mon,11:00-12:00,71
C0017,T2024,Wed,15:00-16:00,52
C0018,T2022,Wed,13:00-14:00,70
C0018,T2023,Mon,08:00-09:00,56
C0018,T2024,Mon,14:00-15:00,49
C0019,T2022,Thu,15:00-16:00,61
C0019,T2023,Tue,09:00-10:00,64
C0019,T2024,Mon,10:00-11:00,56
C0020,T2022,Tue,10:00-11:00,56
C0020,T2023,Fri,13:00-14:00,67
C0020,T2024,Thu,12:00-13:00,94
C0021,T2022,Fri,12:00-13:00,72
C0021,T2023,Mon,08:00-09:00,60
C0021,T2024,Wed,08:00-09:00,85
C0022,T2022,Tue,08:00-09:00,46
C0022,T2023,Fri,13:00-14:00,35
C0022,T2024,Mon,15:00-16:00,46
C0023,T2022,Wed,12:00-13:00,79
C0023,T2023,Wed,14:00-15:00,71
C0023,T2024,Thu,10:00-11:00,57
C0024,T2022,Wed,08:00-09:00,78
C0024,T2023,Thu,08:00-09:00,61
C0024,T2024,Tue,08:00-09:00,54
C0025,T2022,Mon,14:00-15:00,14
C0025,T2023,Fri,10:00-11:00,4
C0025,T2024,Tue,08:00-09:00,19
C0026,T2022,Mon,10:00-11:00,19
C0026,T2023,Fri,10:00-11:00,14
C0026,T2024,Mon,08:00-09:00,38
C0027,T2022,Wed,11:00-12:00,28
C0027,T2023,Thu,10:00-11:00,36
C0027,T2024,Thu,09:00-10:00,19
C0028,T2022,Thu,12:00-13:00,38
C0028,T2023,Fri,10:00-11:00,36
C0028,T2024,Wed,13:00-14:00,49
C0029,T2022,Tue,15:00-16:00,20
C0029,T2023,Fri,08:00-09:00,17
C0029,T2024,Thu,08:00-09:00,5
C0030,T2022,Wed,08:00-09:00,13
C0030,T2023,Tue,09:00-10:00,14
C0030,T2024,Tue,13:00-14:00,2
C0031,T2022,Tue,10:00-11:00,40
C0031,T2023,Thu,10:00-11:00,46
C0031,T2024,Tue,13:00-14:00,27
C0032,T2022,Fri,08:00-09:00,50
C0032,T2023,Tue,12:00-13:00,46
C0032,T2024,Thu,15:00-16:00,50
C0033,T2022,Fri,11:00-12:00,41
C0033,T2023,Wed,08:00-09:00,27
C0033,T2024,Thu,12:00-13:00,44
C0034,T2022,Mon,15:00-16:00,37
C0034,T2023,Thu,15:00-16:00,15
C0034,T2024,Mon,08:00-09:00,18
C0035,T2022,Tue,09:00-10:00,60
C0035,T2023,Wed,12:00-13:00,63
C0035,T2024,Wed,13:00-14:00,53
C0036,T2022,Fri,15:00-16:00,21
C0036,T2023,Thu,09:00-10:00,17
C0036,T2024,Wed,11:00-12:00,28
C0037,T2022,Thu,09:00-10:00,37
C0037,T2023,Wed,08:00-09:00,60
C0037,T2024,Wed,15:00-16:00,35
C0038,T2022,Mon,08:00-09:00,70
C0038,T2023,Fri,13:00-14:00,85
C0038,T2024,Tue,15:00-16:00,70
C0039,T2022,Tue,08:00-09:00,18
C0039,T2023,Fri,09:00-10:00,5
C0039,T2024,Fri,14:00-15:00,1
C0040,T2022,Wed,10:00-11:00,26
C0040,T2023,Mon,12:00-13:00,13
C0040,T2024,Thu,11:00-12:00,15
C0041,T2022,Thu,11:00-12:00,69
C0041,T2023,Fri,08:00-09:00,69
C0041,T2024,Fri,09:00-10:00,68
C0042,T2022,Wed,09:00-10:00,63
C0042,T2023,Wed,13:00-14:00,44
C0042,T2024,Tue,13:00-14:00,48
C0043,T2022,Tue,08:00-09:00,66
C0043,T2023,Tue,13:00-14:00,49
C0043,T2024,Wed,13:00-14:00,16
C0044,T2022,Wed,13:00-14:00,1
C0044,T2023,Mon,13:00-14:00,21
C0044,T2024,Wed,13:00-14:00,1
C0045,T2022,Tue,10:00-11:00,56
C0045,T2023,Thu,15:00-16:00,65
C0045,T2024,Mon,10:00-11:00,62
C0046,T2022,Thu,11:00-12:00,42
C0046,T2023,Tue,12:00-13:00,43
C0046,T2024,Fri,08:00-09:00,11
C0047,T2022,Thu,13:00-14:00,50
C0047,T2023,Fri,13:00-14:00,46
C0047,T2024,Fri,09:00-10:00,53
C0048,T2022,Thu,08:00-09:00,81
C0048,T2023,Thu,11:00-12:00,80
C0048,T2024,Thu,08:00-09:00,59
C0049,T2022,Mon,09:00-10:00,27
C0049,T2023,Mon,13:00-14:00,36
C0049,T2024,Fri,14:00-15:00,8
C0050,T2022,Fri,12:00-13:00,42
C0050,T2023,Tue,15:00-16:00,49
C0050,T2024,Thu,12:00-13:00,29
C0051,T2022,Thu,08:00-09:00,93
C0051,T2023,Tue,11:00-12:00,80
C0051,T2024,Fri,14:00-15:00,80
C0052,T2022,Wed,13:00-14:00,52
C0052,T2023,Wed,13:00-14:00,36
C0052,T2024,Mon,13:00-14:00,59
C0053,T2022,Mon,12:00-13:00,96
C0053,T2023,Fri,13:00-14:00,82
C0053,T2024,Mon,13:00-14:00,96
C0054,T2022,Thu,13:00-14:00,49
C0054,T2023,Fri,11:00-12:00,47
C0054,T2024,Tue,08:00-09:00,56
C0055,T2022,Tue,10:00-11:00,32
C0055,T2023,Thu,14:00-15:00,24
C0055,T2024,Thu,11:00-12:00,19
C0056,T2022,Fri,08:00-09:00,78
C0056,T2023,Tue,14:00-15:00,73
C0056,T2024,Tue,10:00-11:00,42
C0057,T2022,Fri,10:00-11:00,57
C0057,T2023,Mon,14:00-15:00,50
C0057,T2024,Thu,09:00-10:00,37
C0058,T2022,Wed,09:00-10:00,52
C0058,T2023,Tue,08:00-09:00,41
C0058,T2024,Wed,09:00-10:00,53
C0059,T2022,Thu,08:00-09:00,70
C0059,T2023,Tue,15:00-16:00,66
C0059,T2024,Tue,15:00-16:00,75
C0060,T2022,Tue,10:00-11:00,62
C0060,T2023,Wed,10:00-11:00,61
C0060,T2024,Fri,14:00-15:00,50
C0061,T2022,Thu,10:00-11:00,66
C0061,T2023,Fri,13:00-14:00,56
C0061,T2024,Tue,15:00-16:00,40
C0062,T2022,Wed,13:00-14:00,32
C0062,T2023,Mon,10:00-11:00,37
C0062,T2024,Mon,14:00-15:00,44
C0063,T2022,Fri,10:00-11:00,22
C0063,T2023,Fri,12:00-13:00,6
C0063,T2024,Wed,15:00-16:00,5
C0064,T2022,Tue,15:00-16:00,75
C0064,T2023,Wed,13:00-14:00,84
C0064,T2024,Thu,14:00-15:00,75
C0065,T2022,Fri,12:00-13:00,52
C0065,T2023,Mon,14:00-15:00,52
C0065,T2024,Wed,08:00-09:00,59
C0066,T2022,Fri,09:00-10:00,67
C0066,T2023,Tue,08:00-09:00,64
C0066,T2024,Mon,14:00-15:00,75
C0067,T2022,Fri,10:00-11:00,57
C0067,T2023,Mon,11:00-12:00,64
C0067,T2024,Mon,10:00-11:00,57
C0068,T2022,Fri,14:00-15:00,82
C0068,T2023,Thu,15:00-16:00,92
C0068,T2024,Mon,15:00-16:00,109
C0069,T2022,Fri,15:00-16:00,70
C0069,T2023,Tue,15:00-16:00,54
C0069,T2024,Mon,09:00-10:00,70
C0070,T2022,Mon,15:00-16:00,30
C0070,T2023,Thu,08:00-09:00,17
C0070,T2024,Thu,09:00-10:00,13
C0071,T2022,Tue,12:00-13:00,55
C0071,T2023,Fri,08:00-09:00,67
C0071,T2024,Tue,12:00-13:00,72
C0072,T2022,Mon,09:00-10:00,61
C0072,T2023,Thu,11:00-12:00,56
C0072,T2024,Wed,12:00-13:00,67
C0073,T2022,Fri,14:00-15:00,73
C0073,T2023,Fri,15:00-16:00,73
C0073,T2024,Mon,08:00-09:00,74
C0074,T2022,Tue,11:00-12:00,41
C0074,T2023,Fri,10:00-11:00,57
C0074,T2024,Mon,12:00-13:00,59
C0075,T2022,Mon,15:00-16:00,18
C0075,T2023,Fri,11:00-12:00,45
C0075,T2024,Mon,10:00-11:00,39
C0076,T2022,Tue,08:00-09:00,43
C0076,T2023,Tue,14:00-15:00,45
C0076,T2024,Wed,09:00-10:00,64
C0077,T2022,Tue,11:00-12:00,70
C0077,T2023,Wed,12:00-13:00,83
C0077,T2024,Thu,11:00-12:00,63
C0078,T2022,Wed,15:00-16:00,82
C0078,T2023,Thu,12:00-13:00,70
C0078,T2024,Fri,13:00-14:00,69
C0079,T2022,Tue,08:00-09:00,52
C0079,T2023,Thu,13:00-14:00,43
C0079,T2024,Tue,10:00-11:00,36
C0080,T2022,Thu,10:00-11:00,58
C0080,T2023,Tue,10:00-11:00,58
C0080,T2024,Fri,15:00-16:00,60
C0081,T2022,Mon,10:00-11:00,54
C0081,T2023,Tue,13:00-14:00,66
C0081,T2024,Mon,12:00-13:00,47
C0082,T2022,Mon,15:00-16:00,24
C0082,T2023,Tue,14:00-15:00,18
C0082,T2024,Thu,11:00-12:00,16
C0083,T2022,Mon,14:00-15:00,31
C0083,T2023,Thu,10:00-11:00,41
C0083,T2024,Wed,14:00-15:00,50
C0084,T2022,Tue,15:00-16:00,57
C0084,T2023,Thu,10:00-11:00,52
C0084,T2024,Wed,13:00-14:00,61
C0085,T2022,Mon,14:00-15:00,31
C0085,T2023,Wed,14:00-15:00,36
C0085,T2024,Thu,08:00-09:00,39
C0086,T2022,Fri,13:00-14:00,18
C0086,T2023,Fri,12:00-13:00,37
C0086,T2024,Fri,11:00-12:00,50
C0087,T2022,Tue,11:00-12:00,12
C0087,T2023,Tue,11:00-12:00,28
C0087,T2024,Thu,10:00-11:00,20
C0088,T2022,Fri,15:00-16:00,65
C0088,T2023,Fri,11:00-12:00,79
C0088,T2024,Wed,14:00-15:00,67
C0089,T2022,Wed,08:00-09:00,38
C0089,T2023,Thu,08:00-09:00,48
C0089,T2024,Mon,09:00-10:00,33
C0090,T2022,Fri,15:00-16:00,20
C0090,T2023,Mon,09:00-10:00,4
C0090,T2024,Wed,11:00-12:00,17
C0091,T2022,Thu,15:00-16:00,96
C0091,T2023,Tue,13:00-14:00,93
C0091,T2024,Fri,11:00-12:00,80
C0092,T2022,Fri,15:00-16:00,51
C0092,T2023,Tue,08:00-09:00,53
C0092,T2024,Thu,09:00-10:00,38
C0093,T2022,Wed,10:00-11:00,67
C0093,T2023,Wed,11:00-12:00,46
C0093,T2024,Fri,14:00-15:00,40
C0094,T2022,Mon,15:00-16:00,66
C0094,T2023,Fri,10:00-11:00,48
C0094,T2024,Wed,12:00-13:00,83
C0095,T2022,Wed,10:00-11:00,58
C0095,T2023,Wed,11:00-12:00,32
C0095,T2024,Tue,10:00-11:00,52
C0096,T2022,Mon,15:00-16:00,32
C0096,T2023,Thu,10:00-11:00,46
C0096,T2024,Fri,13:00-14:00,28
C0097,T2022,Fri,10:00-11:00,83
C0097,T2023,Tue,08:00-09:00,79
C0097,T2024,Wed,12:00-13:00,72
C0098,T2022,Thu,11:00-12:00,3
C0098,T2023,Thu,08:00-09:00,1
