room_id,capacity,room_type,equipment_list,building,floor
R000,30,lecture,"whiteboard,computers",B,2
R001,20,lecture,computers,C,2
R002,30,lecture,"computers,projector",D,1
R003,30,lecture,,D,2
R004,20,lecture,"computers,projector",D,1
R005,60,lecture,,A,2
R006,20,lab,"projector,smartboard",A,3
R007,30,lecture,smartboard,C,3
R008,40,lab,,A,3
R009,30,lecture,"lab_kits,projector",A,3
R010,100,lecture,,D,2
R011,80,lecture,"projector,computers",D,1
R012,30,lecture,lab_kits,D,1
R013,40,lecture,smartboard,B,2
R014,20,lecture,,C,2
R015,30,lecture,,B,3
R016,80,lecture,,B,1
R017,80,lecture,lab_kits,C,2
R018,40,lecture,"smartboard,whiteboard",D,1
R019,30,lecture,computers,B,3
R020,40,lecture,,C,3
R021,30,lecture,"projector,lab_kits",D,3
R022,60,lecture,computers,D,3
R023,40,lecture,computers,A,1
R024,40,lecture,"lab_kits,projector",B,1
R025,80,lab,"projector,lab_kits",A,2
R026,60,lab,"lab_kits,smartboard",C,1
R027,30,lecture,,A,2
R028,20,lecture,,B,2
R029,40,lecture,"lab_kits,projector",A,2
R030,40,lecture,lab_kits,D,1
R031,60,lecture,,D,1
R032,20,lecture,"computers,whiteboard",A,1
R033,40,lecture,"smartboard,whiteboard",C,1
R034,30,lecture,smartboard,A,3
R035,30,lecture,computers,A,1
R036,40,lecture,projector,A,1
R037,20,lecture,,C,3
R038,20,lecture,"whiteboard,lab_kits",B,1
R039,80,lab,"whiteboard,smartboard",C,1
